MS_NO,DIVISION_GROUP,DIVISION_NAME,DEPT_GROUP_NAME,DEPARTMENT_NAME,SUBDEPARTMENT_NAME,CLASS_NAME,SUBCLASS_NAME,ART_SV_NAME,ART_SV_NAME_ENG,ART_NO,ART_SV_NO,BARCODE,BRAND,MODEL_NO,EXTRA_INFO,DC_SUPPL_NO,DC_SUPPL_NAME
240103402,01 NonFood,02 HOME LINE,0240 HOME IMPROVEMEN,0240 HOME IMPROVEMEN,024010 AUTO ACCESSORY,02401034 CAR FRAGRANCE,0240103402 LIQUID GEL,เกลดสปอร์ตไวลด์เบอร์รี่ส์7 มล.,GLADE SPORT WILD BERRIES 7ML,102417420,0,8850175017424,GLADE,NO_MODEL,DMD140126,9191842,9191842 : CENTRAL SUPP-42 (CROSS DOCK-91918)
240103405,01 NonFood,02 HOME LINE,0240 HOME IMPROVEMEN,0240 HOME IMPROVEMEN,024010 AUTO ACCESSORY,02401034 CAR FRAGRANCE,0240103405 REFILL,เกลดสปอตลาเวนเดอมารีนรีฟิล7มล.,GLADE REFILL LVD&MARINE7ML,102311941,0,8850175016168,GLADE,NO_MODEL,DMD240326,9110142,9110142 : BPINDC-XDOCK(42)
240103405,01 NonFood,02 HOME LINE,0240 HOME IMPROVEMEN,0240 HOME IMPROVEMEN,024010 AUTO ACCESSORY,02401034 CAR FRAGRANCE,0240103405 REFILL,เกลดสปอตโอเชียนเอสเคปรีฟิล7ม,GLADE REFILL OCEAN ESCAPE7ML,102311939,0,8850175016137,GLADE,NO_MODEL,NMD140826,9110142,9110142 : BPINDC-XDOCK(42)
240103402,01 NonFood,02 HOME LINE,0240 HOME IMPROVEMEN,0240 HOME IMPROVEMEN,024010 AUTO ACCESSORY,02401034 CAR FRAGRANCE,0240103402 LIQUID GEL,เกลดสปอร์ตลาเวนเดอร์มารีน 7มล.,GLADE SPORT LVD&MARINE 7 ML,102311934,0,8850175016052,GLADE,NO_MODEL,NMD140826,9110142,9110142 : BPINDC-XDOCK(42)
240103402,01 NonFood,02 HOME LINE,0240 HOME IMPROVEMEN,0240 HOME IMPROVEMEN,024010 AUTO ACCESSORY,02401034 CAR FRAGRANCE,0240103402 LIQUID GEL,เกลดสปอร์ตนิวคาร์ 7มล.,GLADE SPORT NEW CAR 7 ML,102311933,0,8850175016045,GLADE,NO_MODEL,NMD140826,9110142,9110142 : BPINDC-XDOCK(42)
240103402,01 NonFood,02 HOME LINE,0240 HOME IMPROVEMEN,0240 HOME IMPROVEMEN,024010 AUTO ACCESSORY,02401034 CAR FRAGRANCE,0240103402 LIQUID GEL,เกลดสปอร์ตโอเชี่ยนเอสเคป 7มล.,GLADE SPORT OCEAN ESCAPE 7 ML,102311932,0,8850175016021,GLADE,NO_MODEL,NMD140826,9110142,9110142 : BPINDC-XDOCK(42)
470300103,02 Food,04 DRY FOOD,0470 HOUSEHOLD,0470 HOUSEHOLD,047030 REFRESHER,04703001 AIR FRESHENERS,0470300103 GEL FRESHENER,เกลดเจลลาเวนเดอร์180กรัม 2ฟรี1,GLADE SCENTED LAVENDER180G2F1,103120303,0,8850175014959,GLADE,NO_MODEL,DMD261224,9191842,9191842 : CENTRAL SUPP-42 (CROSS DOCK-91918)
470300101,02 Food,04 DRY FOOD,0470 HOUSEHOLD,0470 HOUSEHOLD,047030 REFRESHER,04703001 AIR FRESHENERS,0470300101 AEROSOL FRESHENER,เกลดสเปรย์มอร์นิ่งเฟสเนส320มล.,Glade Spray Morning 320 ml,101015718,0,8850175013266,GLADE,320ml.,NMD290626,9110141,9110141 : BPINDC-STOCKING(41)
470300101,02 Food,04 DRY FOOD,0470 HOUSEHOLD,0470 HOUSEHOLD,047030 REFRESHER,04703001 AIR FRESHENERS,0470300101 AEROSOL FRESHENER,เกลดสเปรย์320ML.WILDLAVENDER,GLADE SPRAY320ML.WILD LAVENDER,100870582,0,8850175013204,GLADE,320ML.,NMD280726,9110141,9110141 : BPINDC-STOCKING(41)
470300101,02 Food,04 DRY FOOD,0470 HOUSEHOLD,0470 HOUSEHOLD,047030 REFRESHER,04703001 AIR FRESHENERS,0470300101 AEROSOL FRESHENER,เกลดสเปรย์320ML.FRESHLEMON,GLADE SPRAY320ML.FRESH LEMON,100870585,0,8850175013167,GLADE,320ML.,NMD200626,9110142,9110142 : BPINDC-XDOCK(42)
470300101,02 Food,04 DRY FOOD,0470 HOUSEHOLD,0470 HOUSEHOLD,047030 REFRESHER,04703001 AIR FRESHENERS,0470300101 AEROSOL FRESHENER,เกลดสเปรย์320ML.SPARKLINGORANG,GLADE SPRAY320ML.SPARKLING ORA,100870586,0,8850175013150,GLADE,320ML.,NMD140726,9110142,9110142 : BPINDC-XDOCK(42)
471300103,02 Food,04 DRY FOOD,0470 HOUSEHOLD,0471 HOUSEHOLD_WHSL,047130 REFRESHER_WHSL,04713001 AIR FRESHENERS_WHSL,0471300103 GEL FRESHENER_WHSL,เกลดเจล ลาเวนเดอร์ 200กx3,SCENTED GEL LAVENDER 200Gx3,102016896,0,8850175012900,GLADE,PACK3,NMD140726,9110142,9110142 : BPINDC-XDOCK(42)
