DIVISION_NAME,DEPT_GROUP_NAME,DEPARTMENT_NAME,SUBDEPARTMENT_NAME,CLASS_NAME,SUBCLASS_NAME,ART_SV_NAME
04 DRY FOOD,0450 LIQUOR,0450 LIQUOR,045010 WHISKY,04501002 LOCAL,0450100201 DELUXE,เบลนด์285 ซิกเนเจอร์ 1ลิตร
04 DRY FOOD,0450 LIQUOR,0450 LIQUOR,045010 WHISKY,04501002 LOCAL,0450100201 DELUXE,เบลนด์285 345ซีซี
04 DRY FOOD,0450 LIQUOR,0450 LIQUOR,045010 WHISKY,04501002 LOCAL,0450100201 DELUXE,เบลนด์285 ซิกเนอจเร์345มล.
04 DRY FOOD,0450 LIQUOR,0450 LIQUOR,045030 LIQUEURS&WHITE,04503002 WHITE SPIRIT,0450300202 VODKA,คูลอฟ วอดก้า 700มล.
04 DRY FOOD,0450 LIQUOR,0450 LIQUOR,045030 LIQUEURS&WHITE,04503002 WHITE SPIRIT,0450300202 VODKA,คูลอฟ วอดก้า 1 ลิตร
04 DRY FOOD,0450 LIQUOR,0450 LIQUOR,045010 WHISKY,04501002 LOCAL,0450100201 DELUXE,สุราคราวน์ 99 350ซีซี.
04 DRY FOOD,0450 LIQUOR,0450 LIQUOR,045010 WHISKY,04501002 LOCAL,0450100201 DELUXE,สุราคราวน์ 99 70ซล
04 DRY FOOD,0450 LIQUOR,0450 LIQUOR,045010 WHISKY,04501002 LOCAL,0450100201 DELUXE,เบลนด์285 ดูโอ้แพ็ก
04 DRY FOOD,0450 LIQUOR,0450 LIQUOR,045010 WHISKY,04501002 LOCAL,0450100201 DELUXE,เบลนด์285 ซิกเนเจอร์ ดูโอ้แพ็ก
02 HOME LINE,0240 HOME IMPROVEMEN,0240 HOME IMPROVEMEN,024010 AUTO ACCESSORY,02401033 CAR CLEANING,0240103305 LEATHER CARE,เมจิกโกลด์เคลือบเบาะUV140ML
02 HOME LINE,0240 HOME IMPROVEMEN,0240 HOME IMPROVEMEN,024010 AUTO ACCESSORY,02401033 CAR CLEANING,0240103304 EXTERNAL UTILITY,MAGICGOLDเคลือบสีรถยนต์ 125ML
02 HOME LINE,0240 HOME IMPROVEMEN,0240 HOME IMPROVEMEN,024010 AUTO ACCESSORY,02401033 CAR CLEANING,0240103303 MIRROR CLEANER,MG สเปรยฉีดกระจกANTIDUST 280ML
02 HOME LINE,0240 HOME IMPROVEMEN,0240 HOME IMPROVEMEN,024010 AUTO ACCESSORY,02401033 CAR CLEANING,0240103302 TYRE CARE,MAGICGOLDเคลือบยางกันน้ำ 125ML
02 HOME LINE,0240 HOME IMPROVEMEN,0240 HOME IMPROVEMEN,024010 AUTO ACCESSORY,02401033 CAR CLEANING,0240103304 EXTERNAL UTILITY,MAGICGOLDลบยางมะตอยยางไม้100ML
02 HOME LINE,0240 HOME IMPROVEMEN,0240 HOME IMPROVEMEN,024010 AUTO ACCESSORY,02401033 CAR CLEANING,0240103302 TYRE CARE,เมจิกโกลด์เคลือบเงายางดำ500ML
02 HOME LINE,0240 HOME IMPROVEMEN,0240 HOME IMPROVEMEN,024010 AUTO ACCESSORY,02401033 CAR CLEANING,0240103303 MIRROR CLEANER,MAGICGOLDเติมหม้อฉีดกระจก125ML
02 HOME LINE,0240 HOME IMPROVEMEN,0240 HOME IMPROVEMEN,024010 AUTO ACCESSORY,02401033 CAR CLEANING,0240103303 MIRROR CLEANER,MAGICGOLDเคลือบกระจกกันฝน125ML
02 HOME LINE,0240 HOME IMPROVEMEN,0240 HOME IMPROVEMEN,024010 AUTO ACCESSORY,02401033 CAR CLEANING,0240103305 LEATHER CARE,MAGICGOLDเคลือบเบาะนิวเจน140มล
02 HOME LINE,0240 HOME IMPROVEMEN,0240 HOME IMPROVEMEN,024040 LIGHTING,02404032 LIGHTING,0240403202 BULB,LED EGAT 8W DL
03 SOFT LINE,0350 FOOTWEAR,0350 FOOTWEAR,035021 MEN SHOES,03502102 SANDALS,0350210201 STRAP,GAMBOLบุรุษCN52052น้ำตาล40
03 SOFT LINE,0350 FOOTWEAR,0350 FOOTWEAR,035021 MEN SHOES,03502102 SANDALS,0350210201 STRAP,GAMBOLบุรุษCN52052น้ำตาล41
