DIVISION_NAME,DEPT_GROUP_NAME,DEPARTMENT_NAME,SUBDEPARTMENT_NAME,CLASS_NAME,SUBCLASS_NAME,ART_SV_NAME
04 DRY FOOD,0420 SWEETED GROCE.2,0420 SWEETED GROCE.2,042050 CONFECTIONARY,04205005 CHOCOLATE,0420500503 COATED CHOCOLATE,IMP_เฟอร์เรโรโยโกแลตเต้
04 DRY FOOD,0420 SWEETED GROCE.2,0420 SWEETED GROCE.2,042050 CONFECTIONARY,04205005 CHOCOLATE,0420500501 BAR/BLOCK,IMP_คินเดอร์โชโกลาเด้
04 DRY FOOD,0420 SWEETED GROCE.2,0420 SWEETED GROCE.2,042050 CONFECTIONARY,04205001 CANDY,0420500101 HARD CANDY,ลูกอมเวอร์เชอร์(แท่ง)50กรัม(M)
02 HOME LINE,0250 STATIONERY & EDUTAINMENT,0250 STATIONERY & EDUTAINMENT,025020 PEN & OFFICE,02502024 OFFICE SUPPLIES,0250202404 GLUE,กาวสารพัดประโยชน์ 7ml.
04 DRY FOOD,0460 HBA,0460 HBA,046050 BODY MOISTURIZER,04605003 DEODORANT,0460500301 ROLL ON,นีเวียเอ็กซไวท์โรลออน25มล.
04 DRY FOOD,0460 HBA,0460 HBA,046050 BODY MOISTURIZER,04605003 DEODORANT,0460500301 ROLL ON,นีเวียเมนไวท์โรลออน25มล.
04 DRY FOOD,0460 HBA,0460 HBA,046070 MEN'S CARE,04607002 BODY,0460700204 DEO ROLL ON MEN,นีเวียเมนคูลคิกโรลออน25มล.
04 DRY FOOD,0460 HBA,0460 HBA,046070 MEN'S CARE,04607002 BODY,0460700204 DEO ROLL ON MEN,นีเวียเมนโรลออนอินวิซิเบิล25มล
04 DRY FOOD,0460 HBA,0460 HBA,046050 BODY MOISTURIZER,04605003 DEODORANT,0460500301 ROLL ON,นีเวียเพิร์ลแอนด์บิวตี้12 มล
04 DRY FOOD,0460 HBA,0460 HBA,046050 BODY MOISTURIZER,04605001 BODY LOTION,0460500103 SUNCARE,นีเวียซันบอดี้ มอยส์#50 180มล
04 DRY FOOD,0460 HBA,0460 HBA,046050 BODY MOISTURIZER,04605001 BODY LOTION,0460500103 SUNCARE,นีเวียซันบอดี้ ไวท์#50 180มล
04 DRY FOOD,0461 FACE & COSMETICS,0461 FACE & COSMETICS,046170 FACIAL MOISTURIZER,04617001 UV PROTECTION,0461700101 FACIAL SUNSCREEN,นีเวียซันอินสแตนท์ออร่า 7มล
04 DRY FOOD,0460 HBA,0460 HBA,046050 BODY MOISTURIZER,04605001 BODY LOTION,0460500103 SUNCARE,นีเวียซันบอดี้วิตซีSPF50 30มล
04 DRY FOOD,0461 FACE & COSMETICS,0461 FACE & COSMETICS,046170 FACIAL MOISTURIZER,04617001 UV PROTECTION,0461700101 FACIAL SUNSCREEN,นีเวีย ซัน ออยล์ คอนโทรล 7มล
04 DRY FOOD,0461 FACE & COSMETICS,0461 FACE & COSMETICS,046170 FACIAL MOISTURIZER,04617001 UV PROTECTION,0461700101 FACIAL SUNSCREEN,นีเวียซัน ซีแอนด์อี#50 7มล
04 DRY FOOD,0460 HBA,0460 HBA,046070 MEN'S CARE,04607002 BODY,0460700204 DEO ROLL ON MEN,นีเวียเมน โรลออน คูลเฟรช 50มล
04 DRY FOOD,0460 HBA,0460 HBA,046070 MEN'S CARE,04607002 BODY,0460700204 DEO ROLL ON MEN,นีเวียเมน โรลออน คูลเฟรช 25มล
04 DRY FOOD,0460 HBA,0460 HBA,046050 BODY MOISTURIZER,04605003 DEODORANT,0460500301 ROLL ON,นีเวีย ไวท์ซีอี โรลออน25มล
04 DRY FOOD,0460 HBA,0460 HBA,046050 BODY MOISTURIZER,04605003 DEODORANT,0460500301 ROLL ON,นีเวีย ไวท์ซีอีโรลออน50มล
04 DRY FOOD,0460 HBA,0460 HBA,046050 BODY MOISTURIZER,04605003 DEODORANT,0460500301 ROLL ON,นีเวีย ไบรท์แม็กซ์โพรเทค 25มล
04 DRY FOOD,0460 HBA,0460 HBA,046070 MEN'S CARE,04607002 BODY,0460700204 DEO ROLL ON MEN,นีเวียเมน สติ๊กดรายอิมแพ็ค50มล
04 DRY FOOD,0460 HBA,0460 HBA,046050 BODY MOISTURIZER,04605003 DEODORANT,0460500302 STICK,นีเวีย สติ๊กดรายคอมฟอร์ท 50มล
04 DRY FOOD,0460 HBA,0460 HBA,046050 BODY MOISTURIZER,04605003 DEODORANT,0460500302 STICK,นีเวีย สติ๊กไบรท์เทนนิ่ง50มล
04 DRY FOOD,0460 HBA,0460 HBA,046050 BODY MOISTURIZER,04605003 DEODORANT,0460500301 ROLL ON,นีเวีย เชฟเลส โรลออน 25มล
04 DRY FOOD,0460 HBA,0460 HBA,046050 BODY MOISTURIZER,04605003 DEODORANT,0460500301 ROLL ON,นีเวีย แพร์&ลิลลี่ โรลออน 50มล
04 DRY FOOD,0460 HBA,0460 HBA,046050 BODY MOISTURIZER,04605003 DEODORANT,0460500301 ROLL ON,นีเวียเฟรชลาเวียร์ โรลออน50มล
04 DRY FOOD,0460 HBA,0460 HBA,046050 BODY MOISTURIZER,04605003 DEODORANT,0460500301 ROLL ON,นีเวียพีโอนี&วานิลลาโรลออน50มล
04 DRY FOOD,0460 HBA,0460 HBA,046050 BODY MOISTURIZER,04605003 DEODORANT,0460500301 ROLL ON,นีเวียเวลเว็ทโรแมน โรลออน25มล
04 DRY FOOD,0460 HBA,0460 HBA,046070 MEN'S CARE,04607002 BODY,0460700204 DEO ROLL ON MEN,นีเวีย ดีพเอ็กตรีมโรลออน50มล
04 DRY FOOD,0460 HBA,0460 HBA,046050 BODY MOISTURIZER,04605003 DEODORANT,0460500301 ROLL ON,นีเวีย เดอร์มาดีเฟนโรลออน 50มล
04 DRY FOOD,0460 HBA,0460 HBA,046050 BODY MOISTURIZER,04605003 DEODORANT,0460500301 ROLL ON,นีเวีย เดอร์มาดีเฟนโรลออน 25มล
04 DRY FOOD,0460 HBA,0460 HBA,046050 BODY MOISTURIZER,04605003 DEODORANT,0460500301 ROLL ON,นีเวีย เดอร์มารีแพร์โรลออน50มล
04 DRY FOOD,0460 HBA,0460 HBA,046050 BODY MOISTURIZER,04605003 DEODORANT,0460500301 ROLL ON,นีเวีย เดอร์มารีสโตรโรลออน50มล
04 DRY FOOD,0460 HBA,0460 HBA,046070 MEN'S CARE,04607002 BODY,0460700204 DEO ROLL ON MEN,นีเวียเมน ดีเฟนด์โรลออน 50มล.
04 DRY FOOD,0460 HBA,0460 HBA,046050 BODY MOISTURIZER,04605003 DEODORANT,0460500301 ROLL ON,นีเวียแบล็ค&ไวท์ออเทนติก RO 50
04 DRY FOOD,0460 HBA,0460 HBA,046070 MEN'S CARE,04607002 BODY,0460700204 DEO ROLL ON MEN,นีเวียเมน แบล็ค&ไวท์โรลออน50มล
04 DRY FOOD,0420 SWEETED GROCE.2,0420 SWEETED GROCE.2,042050 CONFECTIONARY,04205005 CHOCOLATE,0420500502 CHUNK,เมจิช็อกโกเบบี้ 32 ก.
04 DRY FOOD,0472 PAPER,0472 PAPER,047220 FEMININE&HYGIEN,04722001 SANITARY,0472200103 TAMPONS,โอบี โปรคอมฟอร์ท ธรรมดา 8ชิ้น
04 DRY FOOD,0430 SALTED GROCERY,0430 SALTED GROCERY,043040 COOKING INGRED.,04304002 COOKING SAUCES,0430400204 SEASONING SAUCE,ซอสถั่วเหลืองคิดโคแมน150ML.
04 DRY FOOD,0420 SWEETED GROCE.2,0420 SWEETED GROCE.2,042050 CONFECTIONARY,04205005 CHOCOLATE,0420500502 CHUNK,ฟูจิย่าพาราซอล 9ก.
04 DRY FOOD,0420 SWEETED GROCE.2,0420 SWEETED GROCE.2,042050 CONFECTIONARY,04205005 CHOCOLATE,0420500502 CHUNK,เมจิอพอลโลช็อกสตรอ46ก
04 DRY FOOD,0420 SWEETED GROCE.2,0420 SWEETED GROCE.2,042050 CONFECTIONARY,04205001 CANDY,0420500101 HARD CANDY,ฟิชเชอร์แมนสไปซี่แมนดาริน25G (P)
04 DRY FOOD,0420 SWEETED GROCE.2,0420 SWEETED GROCE.2,042050 CONFECTIONARY,04205001 CANDY,0420500101 HARD CANDY,ฟิชเชอแมนมินต์25G(P)
04 DRY FOOD,0420 SWEETED GROCE.2,0420 SWEETED GROCE.2,042050 CONFECTIONARY,04205001 CANDY,0420500101 HARD CANDY,ฟิชเชอแมนซูการ์ฟรีมินต์25G (P)
04 DRY FOOD,0420 SWEETED GROCE.2,0420 SWEETED GROCE.2,042050 CONFECTIONARY,04205001 CANDY,0420500101 HARD CANDY,ฟิชเชอร์แมนเชอร์รี่ 22ก
06 PHARMACY,0620 OVER THE COUNTER,0620 OVER THE COUNTER,062050 GASTROINTESTINALS SYSTEM,06205001 ANTACIDS ANTIFLATULENTS,0620500107 NL GASTROESOPHAGEAL REFLUX,P_กาวิสคอน ซอง 10 มล
04 DRY FOOD,0420 SWEETED GROCE.2,0420 SWEETED GROCE.2,042050 CONFECTIONARY,04205001 CANDY,0420500101 HARD CANDY,ฟิชเชอร์ลูกอมแมนซิตรัส25ก
04 DRY FOOD,0420 SWEETED GROCE.2,0420 SWEETED GROCE.2,042060 BISCUITS,04206001 BISCUITS/ WAFERS,0420600103 CRACKERS,IMP_แมคไวตี้ส์ บิสกิตดั้งเดิม
05 FRESH FOOD,0560 PERISHABLE,0560 PERISHABLE,056010 DAIRY,05601006 CHEESE&SPREAD,0560100605 CREAM,IMP_แองเคอร์เรียลแดรี่ครีมวานิลลา400กรัม
04 DRY FOOD,0410 SWEETED GROCE.1,0410 SWEETED GROCE.1,041040 BAKING/DESSERT,04104001 BREAD SPREADS,0410400101 JAM/JELLIES,IMP_เซ็นต์ดาลฟูร์แยมบลูเบอ28ก.
04 DRY FOOD,0410 SWEETED GROCE.1,0410 SWEETED GROCE.1,041040 BAKING/DESSERT,04104001 BREAD SPREADS,0410400101 JAM/JELLIES,IMP_เซ็นต์ดาลฟูร์แยมผลไม้รวม28
04 DRY FOOD,0410 SWEETED GROCE.1,0410 SWEETED GROCE.1,041040 BAKING/DESSERT,04104001 BREAD SPREADS,0410400101 JAM/JELLIES,IMP_เซ็นต์ดาลฟูร์แยมสตรอ28ก
06 PHARMACY,0620 OVER THE COUNTER,0620 OVER THE COUNTER,062070 RESPIRATORIES SYSTEM,06207004 MOUTH/THROAT PREPARATIONS,0620700403 LC LOZENGES,P_ฟิชเชอร์แมน แอนนิซีด 20 เม็ด
04 DRY FOOD,0420 SWEETED GROCE.2,0420 SWEETED GROCE.2,042050 CONFECTIONARY,04205005 CHOCOLATE,0420500501 BAR/BLOCK,ช็อคโกแลตสนิกเกอร์35G(M)
03 SOFT LINE,0322 MEN ESSENTIAL,0322 MEN ESSENTIAL,032210 MEN'S ACCESSORIES,03221002 UNDERWEAR,0322100205 BOXER SHORTS,กก.ขาสั้นสีกรมขนาดใหญ่
03 SOFT LINE,0380 CHILDREN,0380 CHILDREN,038013 INFANT ACCESSORIES,03801301 ACCESSORIES,0380130103 HATS,หมวกสองแกละ BARON 313 MIX
03 SOFT LINE,0380 CHILDREN,0380 CHILDREN,038013 INFANT ACCESSORIES,03801301 ACCESSORIES,0380130103 HATS,F หมวกหน้ากระต่าย  คละสี
03 SOFT LINE,0380 CHILDREN,0380 CHILDREN,038013 INFANT ACCESSORIES,03801301 ACCESSORIES,0380130103 HATS,F หมวกแก๊ป  คละสี
03 SOFT LINE,0380 CHILDREN,0380 CHILDREN,038013 INFANT ACCESSORIES,03801301 ACCESSORIES,0380130103 HATS,F หมวก  คละสี
03 SOFT LINE,0380 CHILDREN,0380 CHILDREN,038013 INFANT ACCESSORIES,03801301 ACCESSORIES,0380130103 HATS,หมวกชุดชาย
03 SOFT LINE,0380 CHILDREN,0380 CHILDREN,038013 INFANT ACCESSORIES,03801301 ACCESSORIES,0380130103 HATS,หมวกชุดหญิง
03 SOFT LINE,0380 CHILDREN,0380 CHILDREN,038013 INFANT ACCESSORIES,03801301 ACCESSORIES,0380130103 HATS,หมวกกลมกำมะหยี่หูย่น
03 SOFT LINE,0380 CHILDREN,0380 CHILDREN,038013 INFANT ACCESSORIES,03801301 ACCESSORIES,0380130103 HATS,หมวกพิมพ์เสือ
03 SOFT LINE,0380 CHILDREN,0380 CHILDREN,038013 INFANT ACCESSORIES,03801301 ACCESSORIES,0380130103 HATS,หมวกพิมพ์วัว
03 SOFT LINE,0380 CHILDREN,0380 CHILDREN,038013 INFANT ACCESSORIES,03801301 ACCESSORIES,0380130103 HATS,หมวกพิมพ์หมา
03 SOFT LINE,0380 CHILDREN,0380 CHILDREN,038013 INFANT ACCESSORIES,03801301 ACCESSORIES,0380130103 HATS,หมวกBARON 1
03 SOFT LINE,0380 CHILDREN,0380 CHILDREN,038013 INFANT ACCESSORIES,03801301 ACCESSORIES,0380130102 BIBS,ผ้ากันเปื้อน
03 SOFT LINE,0380 CHILDREN,0380 CHILDREN,038013 INFANT ACCESSORIES,03801301 ACCESSORIES,0380130103 HATS,หมวกเด็กหัวช้าง
03 SOFT LINE,0380 CHILDREN,0380 CHILDREN,038013 INFANT ACCESSORIES,03801301 ACCESSORIES,0380130103 HATS,หมวกเด็กกำมะหยี่
03 SOFT LINE,0340 BABY ACCESSORIES,0340 BABY ACCESSORIES,034011 BABY ACCESSORIES,03401101 BEDDING,0340110106 PILLOW,หมอนหลุมคละแบบ B.B.LOVE
03 SOFT LINE,0340 BABY ACCESSORIES,0340 BABY ACCESSORIES,034011 BABY ACCESSORIES,03401102 BATH ACCESSORIES,0340110213 POWDER CASE,ตลับแป้งฝาเรียบ0618 อาร์.เอส.
03 SOFT LINE,0340 BABY ACCESSORIES,0340 BABY ACCESSORIES,034011 BABY ACCESSORIES,03401101 BEDDING,0340110104 BEDDING SET,เบาะชุดพร้อมหมอน
03 SOFT LINE,0340 BABY ACCESSORIES,0340 BABY ACCESSORIES,034011 BABY ACCESSORIES,03401101 BEDDING,0340110106 PILLOW,หมอนหลุมB.B.LOVE
04 DRY FOOD,0420 SWEETED GROCE.2,0420 SWEETED GROCE.2,042060 BISCUITS,04206001 BISCUITS/ WAFERS,0420600101 BISCUITS/ COOKIES,IMP_นูเตล่า แอนด์ โก 39ก.
04 DRY FOOD,0420 SWEETED GROCE.2,0420 SWEETED GROCE.2,042050 CONFECTIONARY,04205005 CHOCOLATE,0420500503 COATED CHOCOLATE,SSNคินเดอร์จอยดีซีคอมิกส์20ก
04 DRY FOOD,0410 SWEETED GROCE.1,0410 SWEETED GROCE.1,041040 BAKING/DESSERT,04104001 BREAD SPREADS,0410400101 JAM/JELLIES,ช็อคโกแลตทาขนมปังนูเทลล่า200G
04 DRY FOOD,0420 SWEETED GROCE.2,0420 SWEETED GROCE.2,042050 CONFECTIONARY,04205005 CHOCOLATE,0420500502 CHUNK,ข็อคโกแลตเฟอเรโร่T5 60G(M)
04 DRY FOOD,0420 SWEETED GROCE.2,0420 SWEETED GROCE.2,042050 CONFECTIONARY,04205005 CHOCOLATE,0420500501 BAR/BLOCK,คินเดอร์บูโน T4 50G
04 DRY FOOD,0420 SWEETED GROCE.2,0420 SWEETED GROCE.2,042050 CONFECTIONARY,04205005 CHOCOLATE,0420500504 BAR COATED,คินเดอร์บูเอโน่ไวท์39ก
04 DRY FOOD,0420 SWEETED GROCE.2,0420 SWEETED GROCE.2,042050 CONFECTIONARY,04205005 CHOCOLATE,0420500503 COATED CHOCOLATE,คินเดอร์จอยเกิร์ล20G
04 DRY FOOD,0420 SWEETED GROCE.2,0420 SWEETED GROCE.2,042050 CONFECTIONARY,04205005 CHOCOLATE,0420500503 COATED CHOCOLATE,คินเดอร์ครีมมี่ 19 กรัม
04 DRY FOOD,0420 SWEETED GROCE.2,0420 SWEETED GROCE.2,042050 CONFECTIONARY,04205005 CHOCOLATE,0420500503 COATED CHOCOLATE,คินเดอร์จอยบอย20G
06 PHARMACY,0620 OVER THE COUNTER,0620 OVER THE COUNTER,062050 GASTROINTESTINALS SYSTEM,06205001 ANTACIDS ANTIFLATULENTS,0620500103 LC GASTROESOPHAGEAL REFLUX,P_GAVISCON แอดวานซอง10 มล
04 DRY FOOD,0461 FACE & COSMETICS,0461 FACE & COSMETICS,046160 FACIAL CLEANSER,04616001 RINSE OFF,0461600101 FOAM,คลีน&เคลียร์โฟมมิ่ง เฟซวอช50มล
06 PHARMACY,0670 VITAMINS AND SUPPLEMENTS,0670 VITAMINS AND SUPPLEMENTS,067020 SUPPLEMENTS & NUTRITION,06702005 BEAUTY SUPPLEMENT,0670200502 NL ANTI AGING SUPPLEMENTS,P_B/M แอสตร้าแซนธิน6MG+30แคป
06 PHARMACY,0670 VITAMINS AND SUPPLEMENTS,0670 VITAMINS AND SUPPLEMENTS,067010 VITAMINS & MINERALS,06701004 VITAMINS & MINERALS,0670100404 NL MULTIVITAMIN & MINERALS,P_B/Mมัลติ แอคทีฟ 30 เม็ด
06 PHARMACY,0670 VITAMINS AND SUPPLEMENTS,0670 VITAMINS AND SUPPLEMENTS,067020 SUPPLEMENTS & NUTRITION,06702007 SUPPLEMENTS&ADJUVANT THERAPY,0670200708 NL HERBAL & BOTANICALS EXTRACTS,P_B/M GINKGO 30S *NEW*
06 PHARMACY,0670 VITAMINS AND SUPPLEMENTS,0670 VITAMINS AND SUPPLEMENTS,067020 SUPPLEMENTS & NUTRITION,06702008 SPECIFIC PURPOSE,0670200802 NL EYE SUPPLEMENTS,P_B/M BILBERRY2500MG.60S *NEW*
06 PHARMACY,0670 VITAMINS AND SUPPLEMENTS,0670 VITAMINS AND SUPPLEMENTS,067020 SUPPLEMENTS & NUTRITION,06702007 SUPPLEMENTS&ADJUVANT THERAPY,0670200701 NL FISH OIL PRODUCTS,P_แบลคมอร์สฟิชออย์มินิ60แคปซูล
06 PHARMACY,0670 VITAMINS AND SUPPLEMENTS,0670 VITAMINS AND SUPPLEMENTS,067020 SUPPLEMENTS & NUTRITION,06702007 SUPPLEMENTS&ADJUVANT THERAPY,0670200701 NL FISH OIL PRODUCTS,P_แบลคมอร์สฟิชออย์มินิ30แคปซูล
06 PHARMACY,0670 VITAMINS AND SUPPLEMENTS,0670 VITAMINS AND SUPPLEMENTS,067010 VITAMINS & MINERALS,06701001 VITAMIN B,0670100101 LC VITAMIN B & MULTI B,P_BLACKMORESวิตามินบีรวม30เม็ด
06 PHARMACY,0670 VITAMINS AND SUPPLEMENTS,0670 VITAMINS AND SUPPLEMENTS,067010 VITAMINS & MINERALS,06701001 VITAMIN B,0670100101 LC VITAMIN B & MULTI B,P_BLACKMORESเอ็กเซคบีส์ 30เม็ด
06 PHARMACY,0670 VITAMINS AND SUPPLEMENTS,0670 VITAMINS AND SUPPLEMENTS,067010 VITAMINS & MINERALS,06701002 VITAMIN C,0670100202 NL VITAMIN C,P_แบลคมอร์สBIOCอะซีโรล่า+40S
06 PHARMACY,0670 VITAMINS AND SUPPLEMENTS,0670 VITAMINS AND SUPPLEMENTS,067010 VITAMINS & MINERALS,06701004 VITAMINS & MINERALS,0670100410 NL KIDS SUPPLEMENTS,P_B/Mโคอาล่ามัลติ+มิเนอรั30แคป
06 PHARMACY,0670 VITAMINS AND SUPPLEMENTS,0670 VITAMINS AND SUPPLEMENTS,067010 VITAMINS & MINERALS,06701004 VITAMINS & MINERALS,0670100408 NL SLEEP & STRESS SUPPLEMENTS,P_B/Mไบโอแมกนีเซียมแอด+ดี3 50S
06 PHARMACY,0670 VITAMINS AND SUPPLEMENTS,0670 VITAMINS AND SUPPLEMENTS,067020 SUPPLEMENTS & NUTRITION,06702006 DIGESTIVE & GUT,0670200602 NL BIOTICS,P_B/Mโพรไบโอติก+เดลีบาลาน30แคป
06 PHARMACY,0670 VITAMINS AND SUPPLEMENTS,0670 VITAMINS AND SUPPLEMENTS,067020 SUPPLEMENTS & NUTRITION,06702005 BEAUTY SUPPLEMENT,0670200505 NL HAIR SKIN & NAILS SUPPLEMENTS,P_B/Mไบโอซิงเอคีเลต90CAP NEW
06 PHARMACY,0670 VITAMINS AND SUPPLEMENTS,0670 VITAMINS AND SUPPLEMENTS,067010 VITAMINS & MINERALS,06701004 VITAMINS & MINERALS,0670100402 NL CALCIUM & MINERALS  ,P_B/Mไบโอแคเซียม+ดี3 60เม็ดNEW
06 PHARMACY,0670 VITAMINS AND SUPPLEMENTS,0670 VITAMINS AND SUPPLEMENTS,067010 VITAMINS & MINERALS,06701002 VITAMIN C,0670100202 NL VITAMIN C,P_B/Mไบโอซีกลูต้าไอมู+ 30แคป
06 PHARMACY,0670 VITAMINS AND SUPPLEMENTS,0670 VITAMINS AND SUPPLEMENTS,067020 SUPPLEMENTS & NUTRITION,06702008 SPECIFIC PURPOSE,0670200802 NL EYE SUPPLEMENTS,P_B/Mวิสแคร์โปร+ลูทีน30แคป
06 PHARMACY,0670 VITAMINS AND SUPPLEMENTS,0670 VITAMINS AND SUPPLEMENTS,067010 VITAMINS & MINERALS,06701004 VITAMINS & MINERALS,0670100405 LC PREGNANTCY & LACTATION,P_B/Mไบโอโฟลิค 90เม็ด
06 PHARMACY,0670 VITAMINS AND SUPPLEMENTS,0670 VITAMINS AND SUPPLEMENTS,067020 SUPPLEMENTS & NUTRITION,06702005 BEAUTY SUPPLEMENT,0670200505 NL HAIR SKIN & NAILS SUPPLEMENTS,P_B/Mไบโอซิงค์เอคีเลต30เม็ด
06 PHARMACY,0670 VITAMINS AND SUPPLEMENTS,0670 VITAMINS AND SUPPLEMENTS,067020 SUPPLEMENTS & NUTRITION,06702005 BEAUTY SUPPLEMENT,0670200505 NL HAIR SKIN & NAILS SUPPLEMENTS,P_B/Mไบโอตินเอช+
06 PHARMACY,0670 VITAMINS AND SUPPLEMENTS,0670 VITAMINS AND SUPPLEMENTS,067010 VITAMINS & MINERALS,06701002 VITAMIN C,0670100202 NL VITAMIN C,P_B/Mซีกลูต้าไอมู+
06 PHARMACY,0670 VITAMINS AND SUPPLEMENTS,0670 VITAMINS AND SUPPLEMENTS,067010 VITAMINS & MINERALS,06701002 VITAMIN C,0670100202 NL VITAMIN C,P_B/Mไบโอซีเดลีเม็ดเคียว 30S
06 PHARMACY,0670 VITAMINS AND SUPPLEMENTS,0670 VITAMINS AND SUPPLEMENTS,067010 VITAMINS & MINERALS,06701002 VITAMIN C,0670100202 NL VITAMIN C,P_B/Mไบโอซี&เดลีไอมู30S
06 PHARMACY,0670 VITAMINS AND SUPPLEMENTS,0670 VITAMINS AND SUPPLEMENTS,067010 VITAMINS & MINERALS,06701002 VITAMIN C,0670100202 NL VITAMIN C,P_B/Mไบโอซี&เดลีไอมู 60S
04 DRY FOOD,0420 SWEETED GROCE.2,0420 SWEETED GROCE.2,042050 CONFECTIONARY,04205005 CHOCOLATE,0420500501 BAR/BLOCK,มาร์สช็อกโกแลต 47กรัม
04 DRY FOOD,0420 SWEETED GROCE.2,0420 SWEETED GROCE.2,042050 CONFECTIONARY,04205005 CHOCOLATE,0420500503 COATED CHOCOLATE,เอ็ม แอนด์ เอ็ม มิลค์ 37 ก.
04 DRY FOOD,0420 SWEETED GROCE.2,0420 SWEETED GROCE.2,042050 CONFECTIONARY,04205005 CHOCOLATE,0420500503 COATED CHOCOLATE,เอ็ม แอนด์ เอ็ม พีนัท 37ก.
06 PHARMACY,0670 VITAMINS AND SUPPLEMENTS,0670 VITAMINS AND SUPPLEMENTS,067010 VITAMINS & MINERALS,06701002 VITAMIN C,0670100201 LC VITAMIN C,P_B/M BUFFER C 200 TAB
06 PHARMACY,0670 VITAMINS AND SUPPLEMENTS,0670 VITAMINS AND SUPPLEMENTS,067010 VITAMINS & MINERALS,06701001 VITAMIN B,0670100101 LC VITAMIN B & MULTI B,P_B/M  MULTI B 60'S
06 PHARMACY,0670 VITAMINS AND SUPPLEMENTS,0670 VITAMINS AND SUPPLEMENTS,067010 VITAMINS & MINERALS,06701001 VITAMIN B,0670100101 LC VITAMIN B & MULTI B,P_B/M EXEC B'S 60'S
06 PHARMACY,0670 VITAMINS AND SUPPLEMENTS,0670 VITAMINS AND SUPPLEMENTS,067020 SUPPLEMENTS & NUTRITION,06702007 SUPPLEMENTS&ADJUVANT THERAPY,0670200708 NL HERBAL & BOTANICALS EXTRACTS,P_BM GRAPE SEED FORTE 12000 30 เม็ด
06 PHARMACY,0670 VITAMINS AND SUPPLEMENTS,0670 VITAMINS AND SUPPLEMENTS,067010 VITAMINS & MINERALS,06701002 VITAMIN C,0670100201 LC VITAMIN C,P_B/M BUFFER C 31'S * 1 BOTT
04 DRY FOOD,0420 SWEETED GROCE.2,0420 SWEETED GROCE.2,042050 CONFECTIONARY,04205005 CHOCOLATE,0420500504 BAR COATED,คิทแคท 17ก.พรีเมียม
06 PHARMACY,0620 OVER THE COUNTER,0620 OVER THE COUNTER,062050 GASTROINTESTINALS SYSTEM,06205001 ANTACIDS ANTIFLATULENTS,0620500103 LC GASTROESOPHAGEAL REFLUX,P_กาวิสคอนดูอัลแอคชั่นชนิดน้ำ10มล 1ซอง
04 DRY FOOD,0420 SWEETED GROCE.2,0420 SWEETED GROCE.2,042050 CONFECTIONARY,04205001 CANDY,0420500101 HARD CANDY,ฟิชเชอร์สเปียร์มินต์ 22ก
04 DRY FOOD,0420 SWEETED GROCE.2,0420 SWEETED GROCE.2,042050 CONFECTIONARY,04205001 CANDY,0420500101 HARD CANDY,ฟิชเชอร์ฮันนี่&เลมอน 22ก
04 DRY FOOD,0420 SWEETED GROCE.2,0420 SWEETED GROCE.2,042050 CONFECTIONARY,04205001 CANDY,0420500101 HARD CANDY,ฟิชเชอร์แมนแบล็คเคอร์แรนท์25ก
04 DRY FOOD,0420 SWEETED GROCE.2,0420 SWEETED GROCE.2,042050 CONFECTIONARY,04205001 CANDY,0420500101 HARD CANDY,ชูการ์ฟรีมิกซ์เบอร์รี่ 22ก
04 DRY FOOD,0420 SWEETED GROCE.2,0420 SWEETED GROCE.2,042050 CONFECTIONARY,04205001 CANDY,0420500101 HARD CANDY,ฟิชเชอร์แมนช็อกโกเมนโทส้ม25ก
02 HOME LINE,0210 HOUSEWARE,0210 HOUSEWARE,021030 KITCHEN,02103014 FOOD PRESERVATION,0210301401 ALUMINIUM FOIL,ไดมอนด์ฟอยด์ห่ออาหาร37.5ฟุต
02 HOME LINE,0210 HOUSEWARE,0210 HOUSEWARE,021030 KITCHEN,02103014 FOOD PRESERVATION,0210301402 PRESERVE FILM,ไดมอนด์ฟิล์มถนอมอาหาร100ฟุต
02 HOME LINE,0210 HOUSEWARE,0210 HOUSEWARE,021030 KITCHEN,02103014 FOOD PRESERVATION,0210301402 PRESERVE FILM,DIAMONDกระดาษรองอบ30X10ม.
02 HOME LINE,0210 HOUSEWARE,0210 HOUSEWARE,021030 KITCHEN,02103014 FOOD PRESERVATION,0210301401 ALUMINIUM FOIL,DIAMONDฟอยล์นอนสติ๊ก16
02 HOME LINE,0210 HOUSEWARE,0210 HOUSEWARE,021030 KITCHEN,02103014 FOOD PRESERVATION,0210301402 PRESERVE FILM,ไดมอนด์ฟิล์มถนอมอาหาร300ฟุต
04 DRY FOOD,0430 SALTED GROCERY,0430 SALTED GROCERY,043040 COOKING INGRED.,04304002 COOKING SAUCES,0430400204 SEASONING SAUCE,IMP_KKM ซอสหวานอะยิมิริน300
04 DRY FOOD,0430 SALTED GROCERY,0430 SALTED GROCERY,043040 COOKING INGRED.,04304003 PREPARED SAUCES,0430400305 CHILLI SAUCE,IMP_ทาบาสโก ซอสพริก 60 ML
04 DRY FOOD,0430 SALTED GROCERY,0430 SALTED GROCERY,043040 COOKING INGRED.,04304003 PREPARED SAUCES,0430400305 CHILLI SAUCE,IMP_ทาบาสโก ฮาบาเนโรซอส60มล
